hID,impressions,posts impressions,video views,views,clicks,impressions to posts impressions,impressions to video views,impressions to views,impressions to clicks
-1.577E+18,12361,9083,3422,885,0,73.48,27.68,7.16,0
-1.56489E+18,959573,926555,273204,7072,0,96.56,28.47,0.74,0
-1.55142E+18,1784,746,114,669,0,41.82,6.39,37.5,0
-1.51861E+18,20373,13333,0,7419,0,65.44,0,36.42,0
-1.4917E+18,1930,1336,60,1177,0,69.22,3.11,60.98,0
-1.44209E+18,1645443456,1642667956,420299863,2668515,15638,99.83,25.54,0.16,0
-1.35841E+18,35134544,31050310,3454329,29709,0,88.38,9.83,0.08,0
-1.35051E+18,2706,2066,79,955,0,76.35,2.92,35.29,0
-1.34671E+18,30360,25911,340,11059,0,85.35,1.12,36.43,0
-1.34621E+18,13140244,12786683,2176534,24785,262,97.31,16.56,0.19,0
-1.27196E+18,3,0,0,3,0,0,0,100,0
-1.23513E+18,25059731,24937677,6540099,71084,395,99.51,26.1,0.28,0
-1.15004E+18,9241,7580,0,1763,0,82.03,0,19.08,0
-1.05775E+18,3276019,2812305,402711,32572,0,85.85,12.29,0.99,0
-1.04204E+18,46734340,46236139,11556843,35422,0,98.93,24.73,0.08,0
-9.25535E+17,4,0,0,3,0,0,0,75,0
-9.08004E+17,5,0,0,3,0,0,0,60,0
-7.71349E+17,26972768,26957494,2008386,1797,80,99.94,7.45,0.01,0
-7.63779E+17,124817213,124724524,269591,59683,828,99.93,0.22,0.05,0
-6.8264E+17,1678,1389,0,339,0,82.78,0,20.2,0
-5.6733E+17,1463508432,1445998372,245625665,2401929,66719,98.8,16.78,0.16,0
-5.13723E+17,77251851,73273934,12987894,185180,0,94.85,16.81,0.24,0
-5.12963E+17,281651,220676,31458,26879,0,78.35,11.17,9.54,0
-4.52916E+17,897523,863827,78141,26356,216,96.25,8.71,2.94,0.02
-4.40871E+17,193157,163738,5866,26514,0,84.77,3.04,13.73,0
-4.33308E+17,1070953,994888,176954,60377,1904,92.9,16.52,5.64,0.18
-4.16469E+17,3085,2246,0,1045,0,72.8,0,33.87,0
-3.75983E+17,1083,838,188,376,0,77.38,17.36,34.72,0
-3.5164E+17,106745718,106402671,27954692,221886,0,99.68,26.19,0.21,0
-3.22293E+17,155115487,153152357,29441776,492524,0,98.73,18.98,0.32,0
-3.17402E+17,10201221,10147678,1487907,31319,0,99.48,14.59,0.31,0
-3.15074E+17,3856904,3855171,1429431,6422,0,99.96,37.06,0.17,0
-2.99331E+17,3137490,3113140,491411,13102,0,99.22,15.66,0.42,0
-2.84489E+17,27474141,27060966,15155848,354991,1175,98.5,55.16,1.29,0
-2.44194E+17,14113,10764,1399,3540,0,76.27,9.91,25.08,0
-2.34779E+17,31213,21156,0,10651,0,67.78,0,34.12,0
-2.30532E+17,3,0,0,3,0,0,0,100,0
-2.24449E+17,1178387,1153369,338121,13412,10,97.88,28.69,1.14,0
-1.77006E+17,3,0,0,3,0,0,0,100,0
-1.41374E+17,70132,68435,329,1329,0,97.58,0.47,1.89,0
-1.31403E+17,22913413,21290927,8227726,38036,811,92.92,35.91,0.17,0
-6.66812E+16,59617354,59066664,12188755,254254,4290,99.08,20.44,0.43,0.01
-5.85084E+16,5,1,0,3,0,20,0,60,0
-4.57433E+16,11852008,11832385,2715178,18540,59,99.83,22.91,0.16,0
-2.11642E+16,410,263,6,183,0,64.15,1.46,44.63,0
4.12482E+13,88857,69320,5176,5516,0,78.01,5.83,6.21,0
2.2032E+15,10184,7364,0,2395,0,72.31,0,23.52,0
1.81401E+16,11651,7268,822,5313,0,62.38,7.06,45.6,0
3.75987E+16,147556041,146531744,30756116,401102,0,99.31,20.84,0.27,0
2.41626E+17,63658,62127,37665,13528,13,97.59,59.17,21.25,0.02
2.6377E+17,71096,52469,15126,18613,0,73.8,21.28,26.18,0
2.77492E+17,141097,126524,527,2095,0,89.67,0.37,1.48,0
3.06699E+17,436,324,65,96,0,74.31,14.91,22.02,0
3.24972E+17,372,244,0,174,0,65.59,0,46.77,0
3.68321E+17,3,0,0,3,0,0,0,100,0
3.78276E+17,14431,11950,21,2538,0,82.81,0.15,17.59,0
4.26443E+17,1891301,1879490,33130,6835,0,99.38,1.75,0.36,0
4.28645E+17,632989676,630541027,147822405,670522,1468,99.61,23.35,0.11,0
4.95107E+17,6016381,5998161,295802,20838,171,99.7,4.92,0.35,0
5.11417E+17,1188399,1152291,218611,34404,0,96.96,18.4,2.89,0
5.38808E+17,2865,2580,54,394,0,90.05,1.88,13.75,0
6.13405E+17,7,0,0,22,0,0,0,314.29,0
7.30393E+17,208573,195926,22819,16851,1332,93.94,10.94,8.08,0.64
7.6562E+17,2337199,2307164,861350,31615,264,98.71,36.85,1.35,0.01
8.36574E+17,15,11,1,3,0,73.33,6.67,20,0
9.1556E+17,45915,36438,0,7386,0,79.36,0,16.09,0
9.30582E+17,4335,3992,562,946,0,92.09,12.96,21.82,0
9.78651E+17,1642900,1638236,268990,5056,15,99.72,16.37,0.31,0
9.84171E+17,3,0,0,3,0,0,0,100,0
9.98762E+17,313237,299494,36097,14917,76,95.61,11.52,4.76,0.02
1.0506E+18,12832,12802,22,19,0,99.77,0.17,0.15,0
1.0688E+18,575064583,574075206,112800107,235585,7523,99.83,19.62,0.04,0
1.11053E+18,20375,16822,902,4254,0,82.56,4.43,20.88,0
1.12859E+18,294163,211664,3628,69024,0,71.95,1.23,23.46,0
1.1845E+18,48276568,48108608,14909863,174942,0,99.65,30.88,0.36,0
1.22953E+18,70643,43762,5054,4667,0,61.95,7.15,6.61,0
1.26193E+18,1465878,1361862,129639,128193,0,92.9,8.84,8.75,0
1.26781E+18,2016236,1986650,66207,14726,241,98.53,3.28,0.73,0.01
1.28307E+18,4006,2904,180,1167,0,72.49,4.49,29.13,0
1.34804E+18,3,0,0,3,0,0,0,100,0
1.38984E+18,16217612,15059065,2603387,108695,0,92.86,16.05,0.67,0
1.4215E+18,75139,72356,1691,3062,0,96.3,2.25,4.08,0
1.43061E+18,5448,3087,502,3137,6,56.66,9.21,57.58,0.11
1.47199E+18,154348242,153520471,44109884,419086,1522,99.46,28.58,0.27,0
1.49902E+18,360387,340315,21513,21633,0,94.43,5.97,6,0
1.5041E+18,3191,3001,52,384,0,94.05,1.63,12.03,0
1.55101E+18,6810,5880,0,436,0,86.34,0,6.4,0
1.56481E+18,777571354,774582821,149891548,243875,4401,99.62,19.28,0.03,0
1.61717E+18,1729662,1726118,163263,2497,33,99.8,9.44,0.14,0
1.70839E+18,5833,4147,0,2408,0,71.1,0,41.28,0
1.74395E+18,4170,1538,558,3084,6,36.88,13.38,73.96,0.14
1.74513E+18,3564,2794,63,1349,0,78.4,1.77,37.85,0
1.76583E+18,463728322,463562057,81291686,433720,397,99.96,17.53,0.09,0
1.79275E+18,46998956,46866729,7540462,52869,0,99.72,16.04,0.11,0
1.86544E+18,2203,1421,0,1386,5,64.5,0,62.91,0.23
1.87969E+18,22135546,22047521,5837835,16738,0,99.6,26.37,0.08,0
1.98026E+18,698,406,0,322,0,58.17,0,46.13,0
1.98839E+18,276440,274502,69497,3410,5,99.3,25.14,1.23,0
2.01198E+18,21333,11768,460,7077,0,55.16,2.16,33.17,0
2.03662E+18,129547301,127826390,19320853,499546,9432,98.67,14.91,0.39,0.01
2.04254E+18,82021,80573,13035,1672,0,98.23,15.89,2.04,0
2.04745E+18,146103328,145058863,30814825,482527,253,99.29,21.09,0.33,0
2.05261E+18,9630526,9520214,1279065,31653,0,98.85,13.28,0.33,0
2.06807E+18,9882199,9862498,1844397,3721,0,99.8,18.66,0.04,0
2.08452E+18,3068,2509,171,1143,0,81.78,5.57,37.26,0
2.09677E+18,80252,76526,18901,5043,0,95.36,23.55,6.28,0
2.11427E+18,4558000235,4528965577,1025301456,7804806,173518,99.36,22.49,0.17,0
2.11531E+18,2946,1976,0,1085,0,67.07,0,36.83,0
2.15993E+18,8250,7268,1066,593,0,88.1,12.92,7.19,0
2.16218E+18,2059752,2028988,363264,14439,0,98.51,17.64,0.7,0
2.166E+18,662,525,21,177,0,79.31,3.17,26.74,0
2.2043E+18,719,597,13,339,0,83.03,1.81,47.15,0
2.22037E+18,17771,6978,279,2590,0,39.27,1.57,14.57,0
2.22426E+18,272119,265628,44845,6904,131,97.61,16.48,2.54,0.05
2.26831E+18,1902,1561,424,547,11,82.07,22.29,28.76,0.58
2.29419E+18,6479432,6339923,1133745,17586,191,97.85,17.5,0.27,0
2.34695E+18,193,78,0,67,0,40.41,0,34.72,0
2.35436E+18,58801704,58344947,10109882,116635,0,99.22,17.19,0.2,0
2.3562E+18,111703,107268,17792,2734,0,96.03,15.93,2.45,0
2.3803E+18,743,556,23,842,0,74.83,3.1,113.32,0
2.39E+18,39919268,39878980,7257194,22276,98,99.9,18.18,0.06,0
2.44757E+18,66384,62325,4519,6410,53,93.89,6.81,9.66,0.08
2.48799E+18,16428,13681,767,4987,17,83.28,4.67,30.36,0.1
2.50924E+18,161,52,0,150,0,32.3,0,93.17,0
2.53798E+18,15088472,14715275,1881847,285609,0,97.53,12.47,1.89,0
